"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"02c47a39339ag80dfg4a82g2328g68d7d51c","TEMPORAL","No","PART_TIME","HOUR",13,"Cashier",40.751213073730469,-73.903648376464844,153
"edf95c24ebc2gb0bcg4c08gb487g1efd8a76","PERMANENT","No","PART_TIME","HOUR",14,"Front desk & receptionist",40.712776184082031,-74.005973815917969,133
"3a326702a5f0gbee9g48a4gd5ddgb95cd3ac","TEMPORAL","No","PART_TIME","","","General Laborer",40.705074310302734,-74.009162902832031,121
"ade2625b02d1ga1f5g48e3g7dc3gc75cd53f","","No","NONE","","","Home health aide (HHA)",40.613578796386719,-73.962760925292969,115
"fa5f9a98a642gb407g41a9gc46dg5f6ecc73","PERMANENT","No","FULL_TIME","","","Stockperson",40.700740814208984,-73.941329956054688,107
"1a65758efd4fg9151g4090gcfbdg8db8ec13","","No","NONE","","","Cashier & counter person",40.742218017578125,-73.984489440917969,106
"855e6f999857ga1f3g4883g16f3gb59942d7","TEMPORAL","No","PART_TIME","","","Cashier",40.751213073730469,-73.903648376464844,103
"ff74d1069b5cg9510g46f7g8c3dg9cb7432d","PERMANENT","No","FULL_TIME","HOUR",11.149999618530273,"Delivery personnel",40.6771240234375,-73.441856384277344,97
"2ddfd9822e92gad79g48c8g9ab1g9a414ac6","PERMANENT","No","PART_TIME","","","Crew member",40.728267669677734,-73.2254409790039,94
"d0b37f034852g9aa3g4a6bg2aa8ge7559f44","PERMANENT","No","PART_TIME","","","Office Cleaning",40.744678497314453,-73.948539733886719,94
"aa47cfc27af7g9768g4a4ag0738gf294c60c","PERMANENT","1-2 Years","FULL_TIME","","","Retail associate",40.758075714111328,-73.984786987304688,92
"154d8b36dee4g862dg43bbg0177g0560669f","PERMANENT","No","PART_TIME","HOUR",13,"Home health aide",40.631706237792969,-74.123031616210938,83
"86a278bfc05bg8dd1g45b7gd134g322473a9","","2-3 Years","NONE","HOUR",18,"Cleaner",40.773563385009766,-73.956558227539062,81
"b431885a2e16ga6b1g447cgbca1g7e0bd8a6","","No","FULL_TIME","HOUR",12,"Delivery personnel",40.766644,-73.99122,77
"2d6e5dbfe562ga41dg4a27g1badg1547e3a9","PERMANENT","No","FULL_TIME","","","Stock person",40.708114624023438,-73.957069396972656,75
"38da5ee22d09g91b1g4864gc661g901fe9c9","PERMANENT","1-2 Years","FULL_TIME","","","Cashier",40.844783782958984,-73.864830017089844,70
